title,budget,revenue,popularity,vote_average,vote_count,genre_names,release_date,overview,poster_path
The Painted Veil,19400000,26910847,15.842,7.251,1060,,2006-12-09,"A British medical doctor fights a cholera outbreak in a small Chinese village, while also being trapped at home in a loveless marriage to an unfaithful wife.",/k41IvHDLgZO2ae7RuU77wQjScIj.jpg
If Beale Street Could Talk,12000000,20572691,10.354,6.961,1058,,2018-12-14,"After her fiance is falsely imprisoned, a pregnant African-American woman sets out to clear his name and prove his innocence.",/qhUIOTSi3kr4290tKrVyeriyvrv.jpg
The First King,8000000,2440478,12.69,7.121,1057,,2019-01-31,"Romulus and Remus, two shepherds and loyal brothers, end up taking part to a journey that will lead one of them to be the founder of the greatest nation ever seen. However, the fate of the chosen one will pass from killing his own brother.",/dqBU63M3cKy7pfVsmhrbgY5X8iv.jpg
Scanners,4100000,14225876,15.524,6.7,1057,,1981-01-14,"After a man with extraordinary—and frighteningly destructive—telepathic abilities is nabbed by agents from a mysterious rogue corporation, he discovers he is far from the only possessor of such strange powers, and that some of the other “scanners” have their minds set on world domination, while others are trying to stop them.",/VTqLdveNXxGsIAZL5I4RliTTt7.jpg
Joy Ride,23000000,36642838,16.758,6.485,1053,,2001-10-05,"Three young people on a road trip from Colorado to New Jersey talk to a trucker on their CB radio, then must escape when he turns out to be a psychotic killer.",/1LVGjf1QWgkNNPQssZtuT1GYKoP.jpg
District 13: Ultimatum,15000000,8786375,18.293,6.394,1052,,2009-02-18,"Damien and Leito return to District 13 on a mission to bring peace to the troubled sector that is controlled by five different gang bosses, before the city’s secret services take drastic measures to solve the problem.",/8okAUSzfWiudSYMXLJYBnlcILcz.jpg
Dracula,355000,700000,22.098,7.181,1052,,1931-02-12,"British estate agent Renfield travels to Transylvania to meet with the mysterious Count Dracula, who is interested in leasing a castle in London and is, unbeknownst to Renfield, a vampire. After Dracula enslaves Renfield and drives him to insanity, the pair sail to London together, and as Dracula begins preying on London socialites, the two become the subject of study for a supernaturalist professor, Abraham Van Helsing.",/ueVSPt7vAba0XScHWTDWS5tNxYX.jpg
The Nanny Diaries,20000000,47817020,20.937,6.361,1052,,2007-08-24,"A college graduate goes to work as a nanny for a rich New York family. Ensconced in their home, she has to juggle their dysfunction, a new romance, and the spoiled brat in her charge.",/8hX6rcxnCidaqegPCyeFm9PODBn.jpg
20th Century Women,7000000,5664764,10.702,7.348,1052,,2016-12-28,"In 1979 Santa Barbara, California, Dorothea Fields is a determined single mother in her mid-50s who is raising her adolescent son, Jamie, at a moment brimming with cultural change and rebellion. Dorothea enlists the help of two younger women – Abbie, a free-spirited punk artist living as a boarder in the Fields' home and Julie, a savvy and provocative teenage neighbour – to help with Jamie's upbringing.",/mso2rEr9i0MilRIOao5HaWFipS9.jpg
Timecop,27000000,101646581,16.288,5.987,1051,,1994-09-15,"An officer for a security agency that regulates time travel, must fend for his life against a shady politician who has a tie to his past.",/qDjne2UffjOpZAg9cFmzteWqhd3.jpg
Little Nicholas,22700000,62794894,12.689,6.04,1051,,2009-09-30,"Nicolas has a happy existence, parents who love him, a great group of friends with whom he has great fun, and all he wants is that nothing changes. However, one day, he overhears a conversation that leads him to believe that his life might change forever, his mother is pregnant! He panics and envisions the worst.",/zOsPAIRyknuPhYpFV0nTzbVLlgM.jpg
The Professor and the Madman,25000000,4957273,12.293,7.158,1051,,2019-03-07,"Professor James Murray begins work compiling words for the first edition of the Oxford English Dictionary in the mid 19th century, and receives over 10,000 entries from a patient at Broadmoor Criminal Lunatic Asylum, Dr. William Minor.",/gtGCDLhfjW96qVarwctnuTpGOtD.jpg
Suite Française,15000000,9104716,10.836,7.297,1050,,2015-03-12,"France, 1940. In the first days of occupation, beautiful Lucile Angellier is trapped in a stifled existence with her controlling mother-in-law as they both await news of her husband: a prisoner of war. Parisian refugees start to pour into their small town, soon followed by a regiment of German soldiers who take up residence in the villagers' own homes. Lucile initially tries to ignore Bruno von Falk, the handsome and refined German officer staying with them. But soon, a powerful love draws them together and leads them into the tragedy of war.",/w5dV1p5yZfNMuBOgVleLi5VgOG6.jpg
The Spanish Apartment,5300000,3897799,11.34,7.119,1049,,2002-06-19,"A strait-laced French student moves into an apartment in Barcelona with a cast of six other characters from all over Europe. Together, they speak the international language of love and friendship.",/qKq4uLZDAJhBfpRsfPRYouQ5jW5.jpg
The Thomas Crown Affair,48000000,124305181,23.016,6.731,1048,,1999-08-06,"A very rich and successful playboy amuses himself by stealing artwork, but may have met his match in a seductive detective.",/5yqs1MVlqdIg1DY5adC5jFx3d7j.jpg
A Hologram for the King,30000000,4212494,9.641,5.84,1048,,2016-04-22,"Alan Clay, a struggling American businessman, travels to Saudi Arabia to sell a new technology to the King, only to be challenged by endless Middle Eastern bureaucracy, a perpetually absent monarch, and a suspicious growth on his back.",/wmjWGb2tqtOA4XPnK1tpIfzRtSQ.jpg
The Sandlot,7000000,34348444,23.837,7.521,1048,,1993-04-07,"During a summer of friendship and adventure, one boy becomes a part of the gang, nine boys become a team and their leader becomes a legend by confronting the terrifying mystery beyond the right field wall.",/7PYqz0viEuW8qTvuGinUMjDWMnj.jpg
My Bloody Valentine,15000000,102836002,19.125,5.517,1047,,2009-01-16,"Ten years ago, a tragedy changed the town of Harmony forever. Tom Hanniger, an inexperienced coal miner, caused an accident in the tunnels that trapped and killed five men and sent the only survivor, Harry Warden, into a permanent coma. But Harry Warden wanted revenge. Exactly one year later, on Valentine’s Day, he woke up…and brutally murdered twenty-two people with a pickaxe before being killed.",/9biIVOMTdvv4aj4a5HClmrK5EHB.jpg
Uncle Buck,15000000,79258538,21.462,6.775,1047,,1989-08-16,"Buck Russell, a lovable but slovenly bachelor, suddenly becomes the temporary caretaker of his nephew and nieces after a family emergency. His freewheeling attitude soon causes tension with his older niece Tia, loyal girlfriend Chanice and just about everyone else who crosses his path.",/i0MuRxuENc9Ur3croChw0Tmrs5G.jpg
Operation Fortune: Ruse de Guerre,50000000,37846713,56.248,6.582,1047,,2023-01-04,Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,/uo7vWfQUlVwueYTDRicXOJa8Oow.jpg
Police Academy 4: Citizens on Patrol,17000000,76800000,15.942,5.5,1047,,1987-04-02,"A new batch of recruits arrives at Police Academy, this time a group of civilian volunteers who have joined Commandant Lassard's new Citizens on Patrol program. Although the community relations project has strong governmental support, a disgusted Captain Harris is determined to see it fail.",/vvk5aWBJE3EqDX2ln6M4J4UiUXr.jpg
Enough,38000000,51801187,13.303,6.648,1046,,2002-05-21,"Working-class waitress Slim thought she was entering a life of domestic bliss when she married Mitch, the man of her dreams. After the arrival of their first child, her picture perfect life is shattered when she discovers Mitch's hidden possessive dark side, a controlling and abusive alter ego that can turn trust, love and tranquility into terror. Terrified for her child's safety, Slim flees with her daughter. Relentless in his pursuit and enlisting the aid of lethal henchmen, Mitch continually stalks the prey that was once his family.",/4glaIcIRw0IVmQKWYVK6CIo0zaU.jpg
The Man with the Iron Fists,15000000,20546518,17.881,5.522,1046,,2012-11-02,"In feudal China, a blacksmith who makes weapons for a small village is put in the position where he must defend himself and his fellow villagers.",/9dipO9811zpe3P7H26w9X1z1U2y.jpg
The New World,30000000,30536013,15.528,6.5,1043,,2005-12-25,A drama about explorer John Smith and the clash between Native Americans and English settlers in the 17th century.,/dPyWMlQd54r3pK17GKG3iqjvNZ7.jpg
The Good Shepherd,85000000,100266865,21.986,6.344,1043,,2006-12-11,"Edward Wilson, the only witness to his father's suicide and member of the Skull and Bones Society while a student at Yale, is a morally upright young man who values honor and discretion, qualities that help him to be recruited for a career in the newly founded OSS. His dedication to his work does not come without a price though, leading him to sacrifice his ideals and eventually his family.",/ruyJwuDdxFJB0Tvumm1DKPRlC2p.jpg
Ghost Dog: The Way of the Samurai,2000000,9400000,19.495,7.3,1043,,1999-06-02,An African-American Mafia hit man who models himself after the samurai of ancient Japan finds himself targeted for death by the mob.,/gkH4zOxIfbb4BEbk9Q4cVOEpDaY.jpg
Dangerous Liaisons,14000000,34670720,12.852,7.2,1042,,1988-12-21,"In 18th century France, Marquise de Merteuil asks her ex-lover Vicomte de Valmont to seduce the future wife of another ex-lover of hers in return for one last night with her. Yet things don’t go as planned.",/5MEl1xrbM93zjpFgS3sHJ2SlIFm.jpg
Disconnect,10000000,3428048,16.049,7.059,1042,,2012-09-11,"Disconnect interweaves multiple storylines about people searching for human connection in today’s wired world. Through poignant turns that are both harrowing and touching, the stories intersect with surprising twists that expose a shocking reality into our daily use of technology that mediates and defines our relationships and ultimately our lives.",/mAStXq4ncbLBnujd3LG4KDd7Z3a.jpg
Captive State,25000000,8808611,13.342,5.634,1042,,2019-03-15,"Nearly a decade after occupation by an extraterrestrial force, the lives of a Chicago neighborhood on both sides of the conflict are explored. In a working-class Chicago neighborhood occupied by an alien force for nine years, increased surveillance and the restriction of civil rights have given rise to an authoritarian system -- and dissent among the populace.",/cVo7lylXAUDGuvDZBUYaP8Zjbku.jpg
Holy Motors,4000000,641100,12.466,7.036,1041,,2012-07-02,"We follow 24 hours in the life of a being moving from life to life like a cold and solitary assassin moving from hit to hit. In each of these interwoven lives, the being possesses an entirely distinct identity: sometimes a man, sometimes a woman, sometimes youthful, sometimes old. By turns murderer, beggar, company chairman, monstrous creature, worker, family man.",/xE9KvfF44iQrCBIng5Mz4XsIvMf.jpg
Jackass Number Two,11000000,72778712,12.49,6.523,1041,,2006-09-22,"Jackass Number Two is a compilation of various stunts, pranks and skits, and essentially has no plot. Chris Pontius, Johnny Knoxville, Steve-O, Bam Margera, and the whole crew return to the screen to raise the stakes higher than ever before.",/u73V8dMqUwjtPL6gWesCE7ji9GU.jpg
Confessions of a Dangerous Mind,30000000,33013805,11.461,6.714,1041,,2002-12-31,"Television made him famous, but his biggest hits happened off screen. Television producer by day, CIA assassin by night, Chuck Barris was recruited by the CIA at the height of his TV career and trained to become a covert operative. Or so Barris said.",/mM58ABMRzwn5zVx6BS7IiNK0j3F.jpg
The Forgotten,42000000,117592831,16.884,5.918,1041,,2004-09-24,"Telly Paretta is a grieving mother struggling to cope with the loss of her 8-year-old son. She is stunned when her psychiatrist reveals that she has created eight years of memories about a son she never had. But when she meets a man who has had a similar experience, Telly embarks on a search to prove her son's existence, and her sanity.",/4pcHrFZG3kAoRc8RB8H2BSG80bs.jpg
Dangerous Minds,23000000,179519401,17.331,6.956,1041,,1995-08-11,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg
The Kings of Summer,1500000,1400000,14.479,7.026,1040,,2013-01-19,"Joe Toy, on the verge of adolescence, finds himself increasingly frustrated by his single father, Frank's attempts to manage his life. Declaring his freedom once and for all, he escapes to a clearing in the woods with his best friend, Patrick, and a strange kid named Biaggio. He announces that they are going to build a house there, free from responsibility and parents. Once their makeshift abode is finished, the three young men find themselves masters of their own destiny, alone in the woods.",/6dcIbwJuxlEnzLe0EaGFvsh4ZdS.jpg
Out of Time,50000000,55495563,14.735,6.298,1039,,2003-10-03,"Matt Lee Whitlock, respected chief of police in small Banyan Key, Florida, must solve a vicious double homicide before he himself falls under suspicion. Matt Lee has to stay a few steps ahead of his own police force and everyone he's trusted in order to find out the truth.",/zMExJ6RdJQmRMydvozhEBlOLX1m.jpg
Punisher: War Zone,20500000,10089373,23.412,5.791,1037,,2008-12-05,"Waging his one-man war on the world of organized crime, ruthless vigilante-hero Frank Castle sets his sights on overeager mob boss Billy Russoti. After Russoti is left horribly disfigured by Castle, he sets out for vengeance under his new alias: Jigsaw. With the ""Punisher Task Force"" hot on his trail and the FBI unable to take Jigsaw in, Frank must stand up to the formidable army that Jigsaw has recruited before more of his evil deeds go unpunished.",/xqoAPtWBVgaBriZlnTYesuRl2rt.jpg
Like Stars on Earth,2600000,28430000,18.837,7.976,1037,,2007-12-21,"Ishaan Awasthi is an eight-year-old whose world is filled with wonders that no one else seems to appreciate. Colours, fish, dogs, and kites don't seem important to the adults, who are much more interested in things like homework, marks, and neatness. Ishaan cannot seem to get anything right in class; he is then sent to boarding school, where his life changes forever.",/fwXhw9bERqKrJfJK6WGakPIh3FS.jpg
Caddyshack,6000000,39846344,14.718,6.62,1037,,1980-07-25,"At an exclusive country club, an ambitious young caddy, Danny Noonan, eagerly pursues a caddy scholarship in hopes of attending college and, in turn, avoiding a job at the lumber yard. In order to succeed, he must first win the favour of the elitist Judge Smails, and then the caddy golf tournament which Smails sponsors.",/21nhVVqGsOrKvkncsB5GbRxpSZh.jpg
Ladyhawke,20000000,18432000,23.13,7.031,1037,,1985-03-27,"Captain Etienne Navarre is a man on whose shoulders lies a cruel curse. Punished for loving each other, Navarre must become a wolf by night whilst his lover, Lady Isabeau, takes the form of a hawk by day. Together, with the thief Philippe Gaston, they must try to overthrow the corrupt Bishop and in doing so break the spell.",/l3nRJ9Cs7C1AZ7das8S76QqwqjI.jpg
A Tale of Two Sisters,15050245,1062878,21.041,7.105,1036,,2003-06-13,"A recently released patient from a mental institution returns home with her sister, only to face disturbing events between her stepmother and the ghosts haunting their house- all of which are connected to a dark past in the family's history.",/l3exwhwyGE0NnHJ3lFQ7eXoBSkH.jpg
Wolf Creek,1000000,30894796,16.03,6.214,1035,,2005-09-16,"Stranded backpackers in remote Australia fall prey to a murderous bushman, who offers to fix their car, then takes them captive.",/8NiRpqO3vx7ny6jagrEN61hu7qG.jpg
While We're Young,10000000,17287309,11.988,5.973,1035,,2015-04-03,An uptight documentary filmmaker and his wife find their lives loosened up a bit after befriending a free-spirited younger couple.,/rdYXGeK3OZjBrd2R8A1sSS0Kxcq.jpg
Phenomenon,32000000,152036382,15.262,6.367,1035,,1996-07-05,"An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis.",/5eK1HNf0Kl2vDPOeqf1kX4SKxrw.jpg
Teen Titans Go! To the Movies,10000000,28646544,19.174,7.351,1034,,2018-07-27,"All the major DC superheroes are starring in their own films, all but the Teen Titans, so Robin is determined to remedy this situation by getting over his role as a sidekick and becoming a movie star. Thus, with a few madcap ideas and an inspirational song in their hearts, the Teen Titans head to Hollywood to fulfill their dreams.",/mFHihhE9hlvJEk2f1AqdLRaYHd6.jpg
Frailty,11000000,17423030,17.79,6.969,1034,,2001-11-17,A man confesses to an FBI agent his family's story of how his religious fanatic father's visions lead to a series of murders to destroy supposed 'demons'.,/hER3sVCZ9cZRBO0KNI7NbtiLacn.jpg
Act of Valor,12000000,82499399,24.159,6.463,1033,,2012-02-24,"When a covert mission to rescue a kidnapped CIA operative uncovers a chilling plot, an elite, highly trained U.S. SEAL team speeds to hotspots around the globe, racing against the clock to stop a deadly terrorist attack.",/1Xcd5ci69pVXMPP02DU11Ffq0yY.jpg
Il Divo,7275000,11260366,11.147,7.65,1033,,2008-05-28,"Italy, early '90s. Calm, clever and inscrutable, politician Giulio Andreotti has been synonymous with power for decades. He has survived everything: electoral battles, terrorist massacres, loss of friends, slanderous accusations; but now certain repentant mobsters implicate him in the crimes of Cosa Nostra.",/y8SklwMervncMcppxfKYLuiQIcS.jpg
Friday the 13th Part VI: Jason Lives,3000000,19472057,34.73,6.207,1032,,1986-08-01,"Tommy Jarvis, tormented by the fear that Jason Voorhees isn't really dead, unwittingly resurrects the mass murderer for another bloody rampage.",/3qyCfzwY418lbuFEaKX5rKxKlnJ.jpg
The Way of the Dragon,130000,27000000,26.213,7.395,1031,,1972-06-01,"Tang Lung arrives in Rome to help his cousins in the restaurant business. They are being pressured to sell their property to the syndicate, who will stop at nothing to get what they want. When Tang arrives he poses a new threat to the syndicate, and they are unable to defeat him. The syndicate boss hires the best Japanese and European martial artists to fight Tang, but he easily finishes them off.",/m7AIITQ624sfldI4SsX4htXPH1f.jpg
Four Lions,967686,6149356,15.871,6.955,1031,,2010-05-07,A group of Muslim men living in Sheffield hatch an inept plan to become suicide bombers.,/x4JzaRPXBs9wiHCe3e3ymXWuwfd.jpg
The Jewel of the Nile,25000000,96773200,22.018,6.214,1031,,1985-08-01,"Joan Wilder is thrust back into a world of murder, chases, foreign intrigue... and love. This time out she's duped by a duplicitous Arab dignitary who brings her to the Middle East, ostensibly to write a book about his life. Of course, he's up to no good, and Joan is just another pawn in his wicked game. But Jack Colton and his sidekick Ralph show up to help our intrepid heroine save the day.",/6VjsIhnIcrz2XdQVHdsMj5DdSa1.jpg
[REC]⁴ Apocalypse,3000000,4915757,17.994,5.548,1031,,2014-10-31,"Ángela Vidal, the young television reporter who entered the building with the firemen, manages to make it out alive. But what the soldiers don't know is that she carries the seed of the strange infection. She is to be taken to a provisional quarantine facility, a high-security installation where she will have to stay in isolation for several days. An old oil tanker, miles off shore and surrounded by water on all sides, has been especially equipped for the quarantine.",/vbflx4rDj3YrRAAk4HSWsEgZVlK.jpg
Black Book,21000000,26768563,21.371,7.478,1030,,2006-09-14,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.",/fKBeM6vjMD79G3wAXSpw3pBHsit.jpg
March of the Penguins,8000000,127392693,10.721,7.019,1030,,2005-01-26,"Every year, thousands of Antarctica's emperor penguins make an astonishing journey to breed their young. They walk, marching day and night in single file 70 miles into the darkest, driest and coldest continent on Earth.  This amazing, true-life tale is touched with humour and alive with thrills. Breathtaking photography captures the transcendent beauty and staggering drama of devoted parent penguins who, in the fierce polar winter, take turns guarding their egg and trekking to the ocean in search of food. Predators hunt them, storms lash them. But the safety of their adorable chicks makes it all worthwhile. So follow the leader... to adventure!!",/o9xJ1xG1WKlHkl8ACqq0LShOuMu.jpg
40 Days and 40 Nights,17000000,95146283,12.089,5.476,1030,,2002-03-01,"Matt Sullivan's last big relationship ended in disaster and ever since his heart's been aching and his commitment's been lacking. Then came Lent, that time of year when everybody gives something up. That's when Matt decides to go where no man's gone before and make a vow: No sex. Whatsoever. For 40 straight days. At first he has everything under control. That is until the woman of his dreams, Erica, walks into his life.",/5a60NuJToRAc0gijjI5IRSVGKL3.jpg
Top Secret!,9000000,20458340,14.305,7.071,1029,,1984-06-08,"Popular and dashing American singer Nick Rivers travels to East Germany to perform in a music festival. When he loses his heart to the gorgeous Hillary Flammond, he finds himself caught up in an underground resistance movement. Rivers joins forces with Agent Cedric and Flammond to attempt the rescue of her father, Dr. Paul, from the Germans, who have captured the scientist in hopes of coercing him into building a new naval mine.",/b056qzEhbIGlQI9mQKoCgddarxq.jpg
Labor Day,18000000,20275812,20.995,6.97,1028,,2013-12-27,"Depressed single mom Adele and her son Henry offer a wounded, fearsome man a ride. As police search town for the escaped convict, the mother and son gradually learn his true story as their options become increasingly limited.",/7iTBXsb1ru2fGWq6QFKoM179ifW.jpg
Tracers,11000000,593683,18.397,6.017,1028,,2015-01-15,"Wanted by the mafia, a New York City bike messenger escapes into the world of parkour after meeting a beautiful stranger.",/2XoazCkD4gRlqkJK7q6TOTUx1ta.jpg
Downton Abbey,20000000,192199131,14.074,7.143,1027,,2019-09-12,"The beloved Crawleys and their intrepid staff prepare for the most important moment of their lives. A royal visit from the King and Queen of England will unleash scandal, romance and intrigue that will leave the future of Downton hanging in the balance.",/pWt1iRuhNpeVDNP2QiUT2C5OiBt.jpg
The Saint,68000000,118063304,16.464,6.096,1026,,1997-04-03,"Simon Templar (The Saint), is a thief for hire, whose latest job to steal the secret process for cold fusion puts him at odds with a traitor bent on toppling the Russian government, as well as the woman who holds its secret.",/k43wPAVeepqzGwP52dKcknQjquj.jpg
Black Knight,50000000,33422806,19.043,5.368,1026,,2001-11-21,"Martin Lawrence plays Jamal, an employee in Medieval World amusement park. After nearly drowning in the moat, he awakens to find himself in 14th century England.",/pVxwVH461k9u4tUfRewT29DEZ2e.jpg
Death Sentence,20000000,16974459,14.797,6.737,1026,,2007-08-31,"Nick Hume is a mild-mannered executive with a perfect life, until one gruesome night he witnesses something that changes him forever. Transformed by grief, Hume eventually comes to the disturbing conclusion that no length is too great when protecting his family.",/3rdEAMh4a3pc7GO6fSkJwpt7BWX.jpg
'71,11000000,3200000,13.097,6.774,1026,,2014-10-10,A young British soldier must find his way back to safety after his unit accidentally abandons him during a riot in the streets of Belfast.,/xjorsS84euahsmGlnEEeE3LFSVZ.jpg
Dead Snow,800000,2166797,17.864,5.968,1024,,2009-01-09,Eight medical students on a ski trip to Norway discover that Hitler's horrors live on when they come face to face with a battalion of zombie Nazi soldiers intent on devouring anyone unfortunate enough to wander into the remote mountains where they were once sent to die.,/sfwVo5cZJtO8VyDWTILDt4f69IT.jpg
Nothing to Declare,28000000,93800000,12.667,5.9,1024,,2010-12-20,"During the elimination of the Belgian/French border in the 90s, a Belgian customs officer is forced to team up with one of his French counterparts.",/vqJmmfVavVX9F9De3LQLDlGPc6D.jpg
Blue Beetle,120000000,124818235,2994.357,7.139,1023,,2023-08-16,"Recent college grad Jaime Reyes returns home full of aspirations for his future, only to find that home is not quite as he left it. As he searches to find his purpose in the world, fate intervenes when Jaime unexpectedly finds himself in possession of an ancient relic of alien biotechnology: the Scarab.",/mXLOHHc1Zeuwsl4xYKjKh2280oL.jpg
The Gods Must Be Crazy,5000000,60000000,18.957,7.231,1023,,1980-09-10,A Coca-Cola bottle dropped from an airplane raises havoc among a normally peaceful tribe of African bushmen who believe it to be a utensil of the gods.,/kO7YwEuyTfjXP8plVhmcLf3IlUq.jpg
The Outlaw Josey Wales,3700000,31800000,21.233,7.5,1023,,1976-06-30,"After avenging his family's brutal murder, Wales is pursued by a pack of soldiers. He prefers to travel alone, but ragtag outcasts are drawn to him - and Wales can't bring himself to leave them unprotected.",/92BZIFPbyCPNhExyFScxA3xF1dy.jpg
High Plains Drifter,5500000,15700000,22.79,7.396,1023,,1973-04-19,"A gunfighting stranger comes to the small settlement of Lago. After gunning down three gunmen who tried to kill him, the townsfolk decide to hire the Stranger to hold off three outlaws who are on their way.",/4hDSqJAdDaJfSHoJZ6pR8q5f3wZ.jpg
The Worst Person in the World,5000000,11800000,23.063,7.537,1022,,2021-10-13,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.",/p5nLFV9aa76zhFK91Qi0xRlXvQ1.jpg
Diary of a Wimpy Kid: Rodrick Rules,21000000,72526996,17.403,6.604,1022,,2011-03-25,"Wimpy Greg Heffley, now in seventh grade, thinks he has it all together. He has mastered middle school and gotten rid of the Cheese Touch. However, Greg's older brother, Rodrick, is itching to cut him down to size. He gets the perfect opportunity when their mother tries to force the boys to bond. Rodrick may be Greg's chief tormentor, but he feels his constant pranks are just what his little brother needs to prepare him for life's hard knocks.",/k54R3ag1sLu93Wbfo4quw9sSFyj.jpg
Goal!,10000000,27610873,15.368,6.738,1021,,2005-09-29,"Like millions of kids around the world, Santiago harbors the dream of being a professional footballer... However, living in the Barrios section of Los Angeles, he thinks it is only that--a dream. Until one day an extraordinary turn of events has him trying out for Premiership club Newcastle United.",/9YZhJGoIbJtrjDYbENGhR6f6SZE.jpg
The Horse Whisperer,60000000,186883563,16.348,6.879,1020,,1998-02-01,The mother of a severely traumatized daughter enlists the aid of a unique horse trainer to help the girl's equally injured horse.,/ptkDeHY2mRJVyNRyxb9TgyAjTYs.jpg
The Descent: Part 2,6000200,7048886,26.665,5.883,1019,,2009-10-14,"Distraught, confused, and half-wild with fear, Sarah Carter emerges alone from the Appalachian cave system where she encountered unspeakable terrors. Unable to plausibly explain to the authorities what happened - or why she's covered in her friends' blood - Sarah is forced back to the subterranean depths to help locate her five missing companions.",/dOURlcw2MO0xys0Dl2NiAcUxlWA.jpg
Lake Placid,27000000,56870414,18.329,5.885,1019,,1999-07-15,"When a man is eaten alive by an unknown creature, the local Game Warden teams up with a paleontologist from New York to find the beast. Add to the mix an eccentric philanthropist with a penchant for ""Crocs"", and here we go! This quiet, remote lake is suddenly the focus of an intense search for a crocodile with a taste for live animals...and people!",/pEszakCP8j9E9S0UPLfEa3Cad3O.jpg
Doctor Zhivago,11000000,111858363,21.684,7.517,1019,,1965-12-22,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.",/r0Iv2BiCFYDnzc6uU1q3AJ56igT.jpg
Bones and All,18000000,14134907,22.262,7.135,1019,,2022-11-18,"Abandoned by her father, a young woman embarks on a thousand-mile odyssey through the backroads of America where she meets a disenfranchised drifter. But despite their best efforts, all roads lead back to their terrifying pasts and to a final stand that will determine whether their love can survive their otherness.",/rGnKs2joPvJRKnboqDSf81Ap6Mn.jpg
Stillwater,20000000,19754272,22.616,6.666,1019,,2021-07-29,"Bill Baker, an American oil-rig roughneck from Oklahoma, travels to Marseille to visit his estranged daughter, Allison, who is in prison for a murder she claims she did not commit. Confronted with language barriers, cultural differences, and a complicated legal system, Bill builds a new life for himself in France as he makes it his personal mission to exonerate his daughter.",/cPdmPwcIcmu0ugfKcdFtI3vmOJq.jpg
Three Days of the Condor,7800000,41509797,17.625,7.292,1019,,1975-09-24,"A bookish CIA researcher finds all his co-workers dead, and must outwit those responsible until he figures out who he can really trust.",/zinwtZqdb7gnc4zMu8dfkK1fMN3.jpg
The Good Liar,10000000,33856058,12.392,6.687,1018,,2019-11-08,"Career con man Roy sets his sights on his latest mark: recently widowed Betty, worth millions. And he means to take it all. But as the two draw closer, what should have been another simple swindle takes on the ultimate stakes.",/6kmxXfg3aSWrzUlEPt2L0YD4jz9.jpg
Wolfwalkers,12000000,1266570,18.931,8.249,1018,,2020-10-26,"In a time of superstition and magic, when wolves are seen as demonic and nature an evil to be tamed, a young apprentice hunter comes to Ireland with her father to wipe out the last pack. But when she saves a wild native girl, their friendship leads her to discover the world of the Wolfwalkers and transform her into the very thing her father is tasked to destroy.",/ehAKuE48okTuonq6TpsNQj8vFTC.jpg
My Own Private Idaho,2500000,6401336,17.924,7.047,1018,,1991-02-01,"In this loose adaptation of Shakespeare's ""Henry IV,"" Mike Waters is a hustler afflicted with narcolepsy. Scott Favor is the rebellious son of a mayor. Together, the two travel from Portland, Oregon to Idaho and finally to the coast of Italy in a quest to find Mike's estranged mother. Along the way they turn tricks for money and drugs, eventually attracting the attention of a wealthy benefactor and sexual deviant.",/hiFGxsq7Mzss536Rc1cahaNWCJe.jpg
Bandidas,35000000,18381890,13.091,6.022,1018,,2006-01-18,"Set in the late 19th century. When a ruthless robber baron takes away everything they cherish, a rough-and-tumble, idealistic peasant and a sophisticated heiress embark on a quest for justice, vengeance…and a few good heists.",/3qdc6SohDYb1pe9ypv4NShWZMAN.jpg
The Haunting in Connecticut,10000000,77527732,15.901,6.184,1016,,2009-03-27,"When the Campbell family moves to upstate Connecticut, they soon learn that their charming Victorian home has a disturbing history: not only was the house a transformed funeral parlor where inconceivable acts occurred, but the owner's clairvoyant son Jonah served as a demonic messenger, providing a gateway for spiritual entities to crossover.",/dTfL0YbTa7S59vZYmWbk6UofHkI.jpg
Four Christmases,80000000,164112721,12.824,5.785,1016,,2008-11-26,"Brad and Kate have made something of an art form out of avoiding their families during the holidays, but this year their foolproof plan is about go bust -- big time. Stuck at the city airport after all departing flights are canceled, the couple is embarrassed to see their ruse exposed to the world by an overzealous television reporter. Now, Brad and Kate are left with precious little choice other than to swallow their pride and suffer the rounds.",/zixj44TC7rwzpxtJAG5OzFJnEqe.jpg
Free Fire,7000000,3719383,12.355,6.252,1015,,2017-03-31,"In a 1970s Boston, a meeting in a deserted warehouse between two gangs turns into a shoot-out and a game of survival.",/21WsmKivqOE2Vut73z07M8yx84F.jpg
